word
ah
hey
ooh
doo
ha
gotta
da
till
yeh
bop
ho
whoa
goo
beep
bom
nah
oooo
jai
obda
sha
bra
hela
oooh
cha
heba
helloa
jo
NA
ya
doodoodoodoo
wah
hoo
uh
woo
ll
mmmmmm
om
whooh
ay
cah
joo
mi
ohh
aha
ahh
ahha
bb
de
ee
em
ey
highaaaaaaaahhhh
mmmmmmmmmdadada
mmmmmmmmmm
mmmmmmmmmmmmmmm
mo
obladiblada
ono
ooo
oooooh
oooooooooooh
oowee
op
owww
um
wooaah
la
aaaaaahhhhhh
aaaaah
aaaaahhhhh
aaaaahhhhhhhhhh
aaaahhh
aaah
aaaah
aaahhh
aahh
mm
cos
obdi
ob
